Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
KE,8420,7157,522,741
PN,8209,7148,355,706
GN,7976,6643,489,844
KW,7673,6422,317,934
RC,7507,5901,267,1339
S,7408,6172,463,773
N,6979,5947,403,629
RS,6654,5405,216,1033
FS,6355,5378,361,616
T,5926,5021,168,737
GS,5893,4990,402,501
L,5863,4849,441,573
D,5788,4719,235,834
E,5440,4428,292,720
FN,5313,4417,302,594
ME,4723,3879,312,532
HE,4670,3786,353,531
PS,4614,3725,238,651
MW,4068,3347,293,428
HW,3834,3068,189,577
RN,3594,2837,150,607
A,3393,2832,72,489
C,1939,1599,101,239
"today,",it,will,be,updated
