Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
KE,8546,7242,525,779
PN,8365,7256,358,751
GN,8096,6711,492,893
KW,7884,6510,318,1056
RC,7846,6040,270,1536
S,7518,6259,466,793
N,7114,6011,405,698
RS,6913,5536,219,1158
FS,6465,5450,361,654
T,6036,5064,168,804
GS,5980,5064,405,511
D,5956,4847,237,872
L,5929,4919,450,560
E,5531,4530,294,707
FN,5401,4488,305,608
ME,4806,3908,314,584
PS,4744,3803,240,701
HE,4726,3855,353,518
MW,4152,3390,294,468
HW,3970,3170,193,607
RN,3736,2888,151,697
A,3500,2901,72,527
C,1978,1649,103,226
B,1219,997,91,131
